mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
184.52917423248292,5.293190794510929,0.07004942893981933,0.005743379216651178,5,{'n_clusters': 5},0.015097023969687512,0.015782990030793906,0.018627931931429118,0.019632268964508242,0.01805369551242908,0.01743878208176957,0.0017221532433830452,6
171.53571152687073,6.768384970563148,0.06212944984436035,0.0024337930103292002,10,{'n_clusters': 10},0.016384871938422675,0.015312499737609887,0.019371902920010592,0.016911513278048164,0.013704160651944219,0.016336989705207104,0.0018721344386987328,15
174.0807804107666,5.733952251954573,0.06191253662109375,0.0021391508297847117,15,{'n_clusters': 15},0.017907137671506056,0.017629124487965463,0.01608486190770503,0.014543906838912464,0.01703917758980152,0.016640841699178104,0.001220256463095343,12
172.4713150024414,5.96325358229402,0.06491336822509766,0.004530238103929707,20,{'n_clusters': 20},0.018091493619794875,0.016022051085779816,0.01858032678642214,0.016738370003534456,0.016577113272170624,0.017201870953540383,0.0009683696797162711,8
170.40750875473023,5.178795260436939,0.0647496223449707,0.0017378021196403672,25,{'n_clusters': 25},0.015011343042497028,0.015880133244642124,0.015090877215811666,0.0162247593777038,0.0161919793207393,0.015679818440278787,0.0005278459125387205,20
174.83390321731568,7.08246941061302,0.06572718620300293,0.0034065275796971712,30,{'n_clusters': 30},0.01648712172199929,0.018795459563131806,0.01408782966050532,0.016366074341463747,0.01440764518134943,0.01602882609368992,0.001695507400276538,18
180.11780462265014,6.529298450306134,0.06522855758666993,0.0046028228253949975,35,{'n_clusters': 35},0.018703179499124957,0.016075333571705847,0.01665962506126404,0.016447409883923833,0.017923750364484944,0.017161859676100726,0.0009898849738537601,9
180.48265867233278,3.9607483531268115,0.06313300132751465,0.001206507479936758,40,{'n_clusters': 40},0.02075385169275495,0.017483154895189652,0.016196751464138622,0.01823507305131027,0.01911991332512262,0.018357748885703223,0.0015344104509075766,2
166.32952437400817,8.102248674011912,0.06416373252868653,0.0036552440887499863,45,{'n_clusters': 45},0.015627897582818982,0.017875387612026644,0.017691886536277287,0.017280587700425065,0.012932206947788521,0.016281593275867298,0.0018532568176299745,16
167.3685968875885,5.020075242494164,0.06317739486694336,0.005293722541687951,50,{'n_clusters': 50},0.017865776456155162,0.015977119762122086,0.018331129923075604,0.01680707931924654,0.017334956166479558,0.017263212325415788,0.0008210688285950396,7
171.77986755371094,6.711193133175317,0.06365294456481933,0.002735375314418235,55,{'n_clusters': 55},0.016807364967914788,0.01663476434213924,0.016260020600438466,0.019180589172347544,0.018874569462890775,0.017551461709146163,0.0012220069213899586,5
171.97063336372375,6.2665295986071134,0.06226186752319336,0.0032701017568773946,60,{'n_clusters': 60},0.016691682635962064,0.015633612440398195,0.017067037863236635,0.016491236508643325,0.019828283700321577,0.01714237062971236,0.0014229020088346131,11
172.47033519744872,7.6355645928159905,0.06460256576538086,0.002190554164541774,65,{'n_clusters': 65},0.016470088175388118,0.016742694179521504,0.0200457448205754,0.014634237104703825,0.014835136502795351,0.01654558015659684,0.0019429130401062216,13
183.88229837417603,8.514422502913416,0.06451058387756348,0.0017045014280613366,70,{'n_clusters': 70},0.014057620675309654,0.019331708581883683,0.015452239884743913,0.015541385065528037,0.02136300413943812,0.01714919166938068,0.0027401494211932533,10
205.87467365264894,9.894004247881401,0.07108454704284668,0.004867567578340077,75,{'n_clusters': 75},0.017033778848997472,0.019638618095483368,0.017954143245606232,0.01768645371424301,0.015633967420127445,0.017589392264891503,0.001301858924698791,3
207.57193722724915,8.999021078652207,0.07552762031555176,0.00650057197434452,80,{'n_clusters': 80},0.016945307534513215,0.01796722404755504,0.014328945143659,0.015945703827329214,0.016000494066331843,0.01623753492387766,0.0012063859448076745,17
212.5705421924591,10.581520010818366,0.07947697639465331,0.010627964885116798,85,{'n_clusters': 85},0.01400427436975919,0.016629196110465698,0.01381659978241489,0.018699866209554532,0.018910815150036894,0.01641215032444624,0.002193573704448925,14
261.1882576942444,127.06266206622347,0.06883716583251953,0.0035976024056708317,90,{'n_clusters': 90},0.01872052581139179,0.018248248151664977,0.01894452943800451,0.015216618494201634,0.016655916739802365,0.017557167727013056,0.001417475979063769,4
207.23808574676514,14.016185036294383,0.07071776390075683,0.00517128117656325,95,{'n_clusters': 95},0.015607090332786533,0.0175363982030166,0.012890487266601991,0.015363455902817583,0.018218588787062,0.01592320409845694,0.0018698557925814897,19
209.70979924201964,6.797841509915302,0.0726327896118164,0.002467358214595886,100,{'n_clusters': 100},0.018236796345299313,0.01702664254202897,0.019100788142644185,0.016043750808840292,0.022999826331534724,0.0186815608340695,0.00239657172543842,1
