0.09914165040688486,0.068772255274852,0.1295110455389177,Training and education,0.099 (0.069-0.130)
0.10857542170822862,0.08635628554907361,0.13079455786738364,Biochemical analysis,0.109 (0.086-0.131)
0.11954420223539854,0.0995592406971948,0.13952916377360228,Vision,0.120 (0.100-0.140)
0.13986422350970096,0.10289989054539181,0.1768285564740101,Hepatic,0.140 (0.103-0.177)
0.15213356403533118,0.11309321723320195,0.1911739108374604,Knowledge frameworks,0.152 (0.113-0.191)
0.15725141637440382,0.13893512410059658,0.17556770864821106,Genetics,0.157 (0.139-0.176)
0.1636694614680815,0.14338449716298285,0.18395442577318016,Cancer,0.164 (0.143-0.184)
0.2065894694056208,0.18305067125893634,0.23012826755230528,Data types,0.207 (0.183-0.230)
0.21679793611067172,0.15381787390333293,0.27977799831801053,Injuries/trauma,0.217 (0.154-0.280)
0.21731894159245618,0.1388841767345354,0.29575370645037696,Endocrine,0.217 (0.139-0.296)
0.2594726403302738,0.23022897919998123,0.28871630146056637,Language and communication,0.259 (0.230-0.289)
0.269547009038375,0.23619961553410834,0.3028944025426416,Environmental health,0.270 (0.236-0.303)
0.2914123283914416,0.23194147358396866,0.35088318319891454,Cardiovascular,0.291 (0.232-0.351)
0.3060963903877314,0.2301043127754937,0.3820884679999691,Respiratory,0.306 (0.230-0.382)
0.33731447991818214,0.2724090737518571,0.4022198860845072,Mental health,0.337 (0.272-0.402)
0.3617399629667104,0.3008158064368914,0.42266411949652943,Model types,0.362 (0.301-0.423)
0.3659144828358943,0.32682447502237033,0.40500449064941824,Infectious disease/Immunologic,0.366 (0.327-0.405)
0.38073764013637174,0.35596033092455454,0.40551494934818894,Electronic health record,0.381 (0.356-0.406)
0.4028890447168195,0.32343015671521924,0.4823479327184198,Patient safety,0.403 (0.323-0.482)
0.41858889695123597,0.384068373044719,0.4531094208577529,Population health,0.419 (0.384-0.453)
0.4572090227077275,0.4290145142861677,0.4854035311292873,Neurologic,0.457 (0.429-0.485)
0.733124843394129,0.6374752579033417,0.8287744288849163,Renal,0.733 (0.637-0.829)
